English,Spanish
actor,actor
capital,capital
decision,decisión
area,área
base,base
climate,clima
animal,animal
color,color
festival,festival
hospital,hospital
idea,idea
minute,minuto
music,música
natural,natural
necessary,necesario
normal,normal
possible,posible
president,presidente
restaurant,restaurante
school,escuela
telephone,teléfono
university,universidad
video,vídeo
virus,virus
zoo,zoo
admire,admirar
calculate,calcular
celebrate,celebrar
create,crear
donate,donar
explode,explotar
invite,invitar
paint,pintar
participate,participar
report,reportar
translate,traducir
visit,visitar
alcohol,alcohol
area,área
attention,atención
balance,balance
cancer,cáncer
delicious,delicioso
detail,detalle
energy,energía
family,familia
giant,gigante
menu,menú
moment,momento
museum,museo
panic,pánico
planet,planeta
radio,radio
recipe,receta
secret,secreto
skeleton,esqueleto
taxi,taxi
theater,teatro
universe,universo
vaccine,vacuna
